Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
5000,1388,"SpotSO AllChan","T","All Channels","Law Dispatch","Sheriff"
5001,1389,"SpotSO Tac 1","TE","Tac 1","Law Tac","Sheriff"
5002,138a,"SpotSO Patrol 1","TE","Patrol 1","Law Dispatch","Sheriff"
5003,138b,"SpotSO Info","TE","Info","Law Tac","Sheriff"
5005,138d,"SpotSO Tac 2","TE","Tac 2","Law Tac","Sheriff"
5007,138f,"SpotSO SIRS","T","SIRS","Interop","Sheriff"
5014,1396,"SpotSO SAR","T","Search and Rescue","Law Tac","Sheriff"
5015,1397,"Spotsy Louisa 1","T","Louisa 1","Interop","Interop"
5016,1398,"Spotsy DisTac","T","Disaster Tac","Interop","Interop"
5017,1399,"SpotSO ERT","TE","Emergency Response Team","Law Tac","Sheriff"
5019,139b,"SpotSO Court","TE","Court","Law Tac","Sheriff"
5025,13a1,"Spotsy RIOS 1","T","RIOS 1","Interop","Interop"
5026,13a2,"Spotsy RIOS 2","T","RIOS 2","Interop","Interop"
5027,13a3,"Spotsy MA Law 1","T","Mutual Aid Law 1","Interop","Interop"
5028,13a4,"Spotsy MA Law 2","T","Mutual Aid Law 2","Interop","Interop"
6001,1771,"SpotFR A1 Disp","T","A1 Dispatch","Fire Dispatch","Fire, Rescue, and Emergency Management"
6002,1772,"SpotFR A2 Spot1","T","A2 Spotsy 1","Fire-Tac","Fire, Rescue, and Emergency Management"
6003,1773,"SpotFR A11 Inc3","T","A11 Incident 3","Fire-Tac","Fire, Rescue, and Emergency Management"
6004,1774,"SpotFR B3 Inc 4","T","B3 Incident 4","Fire-Tac","Fire, Rescue, and Emergency Management"
6005,1775,"SpotFR B7 Inc5","T","B7 Incident 5","Fire-Tac","Fire, Rescue, and Emergency Management"
6006,1776,"SpotFR B11 Inc6","T","B11 Incident 6","Fire-Tac","Fire, Rescue, and Emergency Management"
6011,177b,"SpotFR A4 Cmd 1","T","A4 Command 1","Fire-Tac","Fire, Rescue, and Emergency Management"
6012,177c,"SpotFR A8 Cmd 2","T","A8 Command 2","Fire-Tac","Fire, Rescue, and Emergency Management"
6013,177d,"SpotFR A12 Cmd3","T","A12 Command 3","Fire-Tac","Fire, Rescue, and Emergency Management"
6018,1782,"Spotsy PS IO 1","T","Public Safety Interop 1","Interop","Interop"
6019,1783,"Spotsy PS IO 2","T","Public Safety Interop 2","Interop","Interop"
6020,1784,"Spotsy PS IO 3","T","Public Safety Interop 3","Interop","Interop"
6021,1785,"SpotFR C3 FM","TE","C3 Fire Marshal","Fire-Tac","Fire, Rescue, and Emergency Management"
6023,1787,"SpotFR C2 Info","TE","C2 Info","Fire-Tac","Fire, Rescue, and Emergency Management"
6026,178a,"SpotFR C4 Trng1","T","C4 Training 1","Fire-Talk","Fire, Rescue, and Emergency Management"
6027,178b,"SpotFR C5 Trng2","T","C5 Training 2","Fire-Talk","Fire, Rescue, and Emergency Management"
6028,178c,"SpotFR SRMC","T","Spotsylvania Regional Medical Center linked with Stafford 4775","Hospital","Fire, Rescue, and Emergency Management"
6029,178d,"SpotFR MWH","T","Mary Washington Hospital also Freestanding ER linked with Stafford 4773","Hospital","Fire, Rescue, and Emergency Management"
6031,178f,"SpotFR C6 TrInc","T","C6 Training Incident","Fire-Talk","Fire, Rescue, and Emergency Management"
6032,1790,"SpotFR C7 TrnC","T","C7 Training Command","Fire-Talk","Fire, Rescue, and Emergency Management"
6033,1791,"Spotsy PS IO 4","T","Public Safety Interop 4","Interop","Interop"
6034,1792,"Spotsy PS IO 5","T","Public Safety Interop 5","Interop","Interop"
6035,1793,"Spotsy PS IO 6","T","Public Safety Interop 6","Interop","Interop"
6054,17a6,"SpotFR 6054","T","Statewide EMS Patch","EMS Dispatch","Fire, Rescue, and Emergency Management"
6055,17a7,"SpotFR 6055","T","Statewide EMS Patch","EMS Dispatch","Fire, Rescue, and Emergency Management"
6075,17bb,"SpotFR A3 Inc 1","T","A3 Incident 1","Fire-Tac","Fire, Rescue, and Emergency Management"
6076,17bc,"SpotFR A5 Tac 1","T","A5 Tac 1","Fire-Tac","Fire, Rescue, and Emergency Management"
6077,17bd,"SpotFR Tac 2A","T","Tac 2A","Fire-Tac","Fire, Rescue, and Emergency Management"
6078,17be,"SpotFR A13 Tac3","T","A13 Tac 3","Fire-Tac","Fire, Rescue, and Emergency Management"
6079,17bf,"SpotFR Spotsy2","T","Spotsy 2","Fire-Tac","Fire, Rescue, and Emergency Management"
6080,17c0,"SpotFR B4 Cmd 4","T","B4 Command 4","Fire-Tac","Fire, Rescue, and Emergency Management"
6081,17c1,"SpotFR B5 Tac 4","T","B5 Tac 4","Fire-Tac","Fire, Rescue, and Emergency Management"
6082,17c2,"SpotFR B8 Cmd 5","T","B8 Command 5","Fire-Tac","Fire, Rescue, and Emergency Management"
6083,17c3,"SpotFR B9 Tac 5","T","B9 Tac 5","Fire-Tac","Fire, Rescue, and Emergency Management"
6084,17c4,"SpotFR B12 Cmd6","T","B12 Command 6","Fire-Tac","Fire, Rescue, and Emergency Management"
6085,17c5,"SpotFR B13 Tac6","T","B13 Tac 6","Fire-Tac","Fire, Rescue, and Emergency Management"
6086,17c6,"SpotFR C8 TrnTc","T","C8 Training Tac","Fire-Talk","Fire, Rescue, and Emergency Management"
6087,17c7,"SpotFR A7 Inc 2","T","A7 Incident 2","Fire-Tac","Fire, Rescue, and Emergency Management"
7005,1b5d,"Spotsy ConvCent","D","Convenience CenterLandfill","Public Works","Services"
7006,1b5e,"Spotsy ChCCColl","T","Chancellor Convenience CenterLandfill Collection","Public Works","Services"
7007,1b5f,"Spotsy LivLndfll","T","Livingston Landfill","Public Works","Services"
7010,1b62,"Spotsy Bldg Mnt","T","Building Maintenance","Public Works","Services"
7017,1b69,"Spotsy MsspnxWTP","T","Massaponax Wastewater Treatment Plant","Utilities","Services"
7020,1b6c,"Spotsy Utilities","D","Utilities","Public Works","Services"
7025,1b71,"Spotsy PW","T","Public Works","Public Works","Services"
7031,1b77,"Spotsy ParksRec","D","Parks and Recreation","Public Works","Services"
7039,1b7f,"Spotsy Event 1","T","Event 1","Interop","Interop"
7040,1b80,"Spotsy Event 2","T","Event 2","Interop","Interop"
7041,1b81,"Spotsy INT OP1","T","INT OP1","Interop","Interop"
7042,1b82,"Spotsy INT OP2","T","INT OP2","Interop","Interop"
7043,1b83,"Spotsy INT OP3","T","INT OP3","Interop","Interop"
7044,1b84,"Spotsy INT OP4","T","INT OP4","Interop","Interop"
7045,1b85,"Spotsy INT OP5","T","INT OP5","Interop","Interop"
7046,1b86,"Spotsy INT OP6","T","INT OP6","Interop","Interop"
7047,1b87,"Spotsy Event 3","T","Event 3","Interop","Interop"
7048,1b88,"Spotsy Event 4","T","Event 4","Interop","Interop"
7049,1b89,"Spotsy Event 5","T","Event 5","Interop","Interop"
7050,1b8a,"Spotsy Event 6","T","Event 6","Interop","Interop"
7101,1bbd,"SpotSchActivity1","T","Activity 1 Ch 5 on school portables","Schools","Schools"
7104,1bc0,"SpotSchEmergency","T","Emergency","Schools","Schools"
7110,1bc6,"Battlefield ES 1","T","Battlefield Elementary School Ch 1","Schools","Schools"
7111,1bc7,"Battlefield ES 2","T","Battlefield Elementary School Ch 2","Schools","Schools"
7112,1bc8,"Battlefield ES 3","T","Battlefield Elementary School Ch 3","Schools","Schools"
7120,1bd0,"BattlefldMS 7120","T","Battlefield Middle School","Schools","Schools"
7121,1bd1,"BattlefldMS 7121","T","Battlefield Middle School","Schools","Schools"
7130,1bda,"Berkeley ES 7130","T","Berkeley Elementary School","Schools","Schools"
7131,1bdb,"Berkeley ES 7131","T","Berkeley Elementary School","Schools","Schools"
7160,1bf8,"Chancellor ES ","T","Chancellor Elementary School","Schools","Schools"
7161,1bf9,"Chancellor ES 2","T","Chancellor Elementary School Ch 2","Schools","Schools"
7170,1c02,"Chancellor HS 1","T","Chancellor High School Ch 1","Schools","Schools"
7171,1c03,"Chancellor HS 2","T","Chancellor High School Ch 2","Schools","Schools"
7180,1c0c,"Chancellor MS 1","T","Chancellor Middle School Ch 1","Schools","Schools"
7181,1c0d,"Chancellor MS 2","T","Chancellor Middle School Ch 2","Schools","Schools"
7182,1c0e,"Chancellor MS 3","T","Chancellor Middle School Ch 3","Schools","Schools"
7200,1c20,"CourthouseRdES 1","T","Courthouse Road Elementary School Ch 1","Schools","Schools"
